Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Backdrop_URL;Generos;Puntuacion_TMDB;Temporadas;Episodios;URL_TMDB;Temporadas_Detalle;Reparto;Reparto_Fotos;Equipo;Recomendaciones;Trailer_URL
Mi Adorable Maldición;Mi adorable maldición;TMDB;2017 - 2017;En el pueblo de El Salado es una ventana al pasado, en él las tradiciones, las creencias y las costumbres de antaño se mantienen vivas. Y aunque esto le da un color extraordinario, no todo es perfecto, pues sus pobladores aún creen en lo sobrenatural, en brujerías y maldiciones, así que cuando Carmen la mamá de la pequeña Aurora muere al dar a luz, de inmediato Macrina, la partera, esparce la noticia de que la niña es la culpable porque nació con un lunar con apariencia de una calavera y eso es clara muestra de que acarrea la desgracia. Así, la bebé queda marcada para toda su vida como portadora de una ‘maldición’. Ante la presencia de la inocente criatura, los vecinos reaccionan como si el mismísimo diablo se les plantara enfrente, provocando que Severo, un despreciable porquero que va dejando apeste a su alrededor, lance una amenzante advertencia a Aurora, jurando que ella jamás va a tener una familia, pues su destino está escrito y debe cumplirse.;https://image.tmdb.org/t/p/original/rKxKJCyaY1pgSDXNN8HcEovPdqR.jpg;https://image.tmdb.org/t/p/original/jiarEDLmjMpZP5qht47ZXYAATh7.jpg;Drama, Telenovela;7.4;1;122;https://www.themoviedb.org/tv/72406;T1:122;Renata Notni (Aurora Sánchez), Pablo Lyle (Rodrigo Villavicencio), Laura Carmine (Monique), Roberto Blandon (Severo Trujillo), Patricia Navidad (Apolonia Ortega), Maya Mishalska (Elsa Solana);https://image.tmdb.org/t/p/w185/9K3ciInRuT5BiJ03HD4YTnRsunY.jpg, , https://image.tmdb.org/t/p/w185/k3FHgV2cbJux6BFzBqwBnthwEkx.jpg, , https://image.tmdb.org/t/p/w185/bfHjeGpz4PjBRQNF3sqBLLMYAiJ.jpg, ;Creador: Gabriela Ortigoza, Julio Jiménez, Sandra Schiffner | Director: Eduardo Said;CORAZON SALVAJE, Esmeralda, Mujer de Madera, Corazón Indomable, Válgame Dios;
Mi Hogar, Mi Destino;Mi hogar, mi destino;TMDB;2019 - 2021;Zeynep, una joven que trata de sacar adelante a su familia, verá cómo su vida cambia radicalmente con la aparición de Mehdi, un hombre complicado del que se enamora perdidamente.;https://image.tmdb.org/t/p/original/hjgsSAwMIuDxe9DLom13bZTKqG5.jpg;https://image.tmdb.org/t/p/original/wTh8q0Uj5pMHNcW5KFJ8WZ7snt1.jpg;Drama;7.4;2;43;https://www.themoviedb.org/tv/96775;T1:12|T2:31;Demet Özdemir (Zeynep Göksu Karaca/Tunahan), İbrahim Çelikkol (Mehdi Karaca), Zuhal Gencer (Sakine), Senan Kara (Nermin), Hülya Duyar (Sultan), Elif Sönmez (Cemile);https://image.tmdb.org/t/p/w185/nmy5ksmwyrdCLRaXb9DYA0pDEbh.jpg, https://image.tmdb.org/t/p/w185/8kvbL2u92TcEMUntyGNzJEXVN7u.jpg, https://image.tmdb.org/t/p/w185/6SXuFBDbLEXI9JVTCQxlmmyXcbg.jpg, https://image.tmdb.org/t/p/w185/1W2OYG58iTe1UfZRhjcTLXZYo6q.jpg, https://image.tmdb.org/t/p/w185/9JqjWdkOpwx5jRweRYi0wZE11j5.jpg, https://image.tmdb.org/t/p/w185/7SFZJDtnCcAJzWcyfPsUsVmcZkn.jpg;Creador: Gülseren Budayıcıoğlu | Director: Çağrı Bayrak;Wounded Birds, Desnuda, Bel-Air, Tras el cristal, La Hija del Embajador;
Mi nombre es Farah;Mi nombre es Farah;TMDB;2023 - 2023;Farah es una joven que ha tenido que huir de su país natal y lucha ilegalmente por sobrevivir junto a su hijo enfermo en Estambul. En una noche aparentemente ordinaria, su vida da un giro inesperado cuando presencia involuntariamente un asesinato. Este suceso la llevará a un cruce de caminos con Tahir Lekesiz, un hombre al que conoce esa misma noche. Este encuentro cambiará sus vidas para siempre y los arrastrará a un mundo de misterio, intriga y peligro.;https://image.tmdb.org/t/p/original/lw9DBdrF58jsv2mkCqcQTJynsTU.jpg;https://image.tmdb.org/t/p/original/ebtobUiMRbq0T3R1mBVI69Ux937.jpg;Crimen, Drama;8.813;2;27;https://www.themoviedb.org/tv/219826;T1:14|T2:13;Demet Özdemir (Farah Ershadi), Engin Akyürek (Tahir Lekesiz), Fırat Tanış (Mehmet Koşaner), Feyyaz Duman (Behnam), Burcu Türünz (Bade Akıncı), Hatice Aslan (Rahşan);https://image.tmdb.org/t/p/w185/nmy5ksmwyrdCLRaXb9DYA0pDEbh.jpg, https://image.tmdb.org/t/p/w185/oynWT3byuD2t6DUaCkS9dr84cqQ.jpg, https://image.tmdb.org/t/p/w185/sUdRJPbSodfUzS8vxGVBnGVCMsP.jpg, https://image.tmdb.org/t/p/w185/58HoLp9QEziXxOzAz32sNvyn3yC.jpg, https://image.tmdb.org/t/p/w185/ewu3MJTxtmHyYQSCiqF4xraZJyp.jpg, https://image.tmdb.org/t/p/w185/3AfcaaXYatSN5njBi3EbMzEG3Lg.jpg;Creador: Cem Görgeç, Cenk Boğatur, Deniz Dargı;Power Book IV: Force, Five Days, L.A.'s Finest. Policías de Los Ángeles, Bad Girls, Goliat;https://www.youtube.com/watch?v=Axepqhlvpwg
Mujeres Apasionadas;Mujeres Apasionada;TMDB;2003 - 2003;La serie gira en torno a la tensa relación entre un saxofonista y una mujer que se enamora de un antiguo novio, al que dejó para casarse con él.;https://image.tmdb.org/t/p/original/f7xttU79eOEm8YOu4DCONvbPtNX.jpg;https://image.tmdb.org/t/p/original/jDwJ1Tkys0EdeJUesw2XKyUrlTv.jpg;Telenovela, Familia, Drama;6.3;1;203;https://www.themoviedb.org/tv/20875;T1:203;Christiane Torloni (Helena Moraes Ribeiro Alves), José Mayer (Dr. César Andrade de Melo), Tony Ramos (Teodoro Ribeiro Alves (Téo)), Giulia Gam (Heloísa Moraes Vasconcelos), Marcello Antony (Sérgio Vasconcelos), Camila Pitanga (Drª. Luciana Ribeiro Alves);https://image.tmdb.org/t/p/w185/kxU8VeL70i06MhETOPNYhJELpz2.jpg, https://image.tmdb.org/t/p/w185/gYVwlrPDh4hdIn6Y0py2x6awBTh.jpg, https://image.tmdb.org/t/p/w185/gOy2JJRYcttL9567n1TIvwuitqT.jpg, https://image.tmdb.org/t/p/w185/pFtv61SskpB85TKwgfNKZzPEqkK.jpg, https://image.tmdb.org/t/p/w185/4tywFxaAP8TnhC41l2jAS1DRhyN.jpg, https://image.tmdb.org/t/p/w185/cKk8eEt55ytMdc6vEgDWWHgKdkZ.jpg;Creador: Manoel Carlos | Director: Marcelo Travesso, Rogério Gomes;The Young and the Restless, Felicity, Manía de Ti, Land of Desire, Pantanal;
No Sueltes Mi Mano;No sueltes mi mano;TMDB;2018 - 2019;Sinopsis: Esta historia gira entorno Cenk (Alp Navruz) quien es hijo de una de las familias más famosas y ricas de todo Estambul y poseen una de las empresas gastronómicas más grande de todo Turquía.El vive en los Estados Unidos pero un día decide regresar a Estambul con el fin de vender su empresa y elegir su propio destino pero lo que el no sabe es que en el camino se cruzara con Azra (Alina Boz) una joven y guapa estudiante de cocina que se radica en los Estados Unidos y por un pedido de su padre decide regresar a Estambul. ¿Podrán Cenk y Azra aceptar lo que el destino les tiene preparado?;https://image.tmdb.org/t/p/original/budGPvu6oms8qvMWSxjqL4HAis3.jpg;https://image.tmdb.org/t/p/original/bjibXGFuZiBPUNuX64ZsEiuVmgu.jpg;Familia, Drama;8.385;2;59;https://www.themoviedb.org/tv/80229;T1:43|T2:16;Alina Boz (Azra Güneş), Alp Navruz (Cenk Çelen), Dolunay Soysert (Sumru Güneş), Seray Gözler (Feride Çelen), Emre Bey (Arda Çelen), Ebru Aykaç (Serap Çelen);https://image.tmdb.org/t/p/w185/xoqBSBsIs6WtvvJ8i6Y5btyo3MM.jpg, https://image.tmdb.org/t/p/w185/p3gAhxWTaoPxx9xa22qCcMWAUJ2.jpg, https://image.tmdb.org/t/p/w185/fp6jAtAAbDLpoBkQs2GAUUFyOIj.jpg, https://image.tmdb.org/t/p/w185/s1N7D0wYeRPCz70ZgDMJRT5a8Rb.jpg, https://image.tmdb.org/t/p/w185/pjTsTuQ4jVRXoisd9jHDgqrbttt.jpg, https://image.tmdb.org/t/p/w185/wOlDF5lWDbRYQaww4vDUO2LS0v3.jpg;Creador: Nilüfer Özçelik, Volkan Yazıcı | Director: Sadullah Çelen;Tras el cristal, Tell Me Lies, Mi nombre es Farah, Sherlock & Daughter, Las flores perdidas de Alice Hart;
Pajaro Soñador;Pajaro Soñador;TMDB;2018 - 2019;Esta historia gira entorno a Sanem una joven y hermosa muchacha llena de vida quien tiene un padre que trabaja en una tienda de comestibles y una hermana mayor Leyla quien es todo lo contrario a su pequeña hermana. Sanem con tal de ayudar a su padre envía una solicitud de trabajo a la revista más famosa de Turquía “La Condesa” el dueño de esta revista es el señor Aziz quien tiene dos hijos Can y Emre, Can es un joven y atractivo muchacho lleno de energía y con un espíritu aventurero, amante de la naturaleza todo lo contrario a Emre el cual todas las chicas mueren por él. La vida de estos dos hermanos cambiará el día que Sanem entre a la empresa.;https://image.tmdb.org/t/p/original/8Xums4sswAnXJQnUSbwcY20iZcC.jpg;https://image.tmdb.org/t/p/original/uJ3HalVLkaOeH1lvDdrEmeqFxds.jpg;Drama, Comedia, Telenovela;8.0;1;51;https://www.themoviedb.org/tv/80411;T1:51;Demet Özdemir (Sanem Aydın), Can Yaman (Can Divit), Birand Tunca (Emre Divit), Öznur Serçeler (Leyla Aydın), Ceren Taşçı (Ayhan Işık), Sevcan Yaşar (Aylin Yüksel);https://image.tmdb.org/t/p/w185/nmy5ksmwyrdCLRaXb9DYA0pDEbh.jpg, https://image.tmdb.org/t/p/w185/qjDCqpngema0dqF1DDEbOKrXC1Z.jpg, https://image.tmdb.org/t/p/w185/uRTNsnpW54W3VggQp6BJw0Ub4aF.jpg, https://image.tmdb.org/t/p/w185/cW7R6D12Gltl07YdQT8gg5SjRaS.jpg, https://image.tmdb.org/t/p/w185/osj8CastVcLR4F1NLX62HctzIUQ.jpg, https://image.tmdb.org/t/p/w185/z2lFS5bf3bEi9Ur6TwAyhhhOx2y.jpg;;Medcezir, Trampa de amor, Acapulco, Doña Bárbara, La novia de Estambul;
Perdona Nuestros Pecados;Perdona nuestros pecados;TMDB;2017 - 2018;La llegada de Reynaldo Suárez (Mario Horton), el nuevo párroco de Villa Ruiseñor, generará más de un dolor de cabeza a Armando Quiroga (Álvaro Rudolphy), el hombre más rico y poderoso de la región del Maule, mientras en silencio las mujeres del pueblo comienzan a murmurar sobre los encantos y magnetismo del cura. Reynaldo llega a buscar venganza contra Quiroga por el supuesto suicidio de su hermana menor casi 20 años atrás, apoyado por su madre, la abortera del pueblo, Lidia (Carmen Disa Gutiérrez).  Por otro lado, está María Elsa (Mariana Di Girólamo) la hija y debilidad de Armando. Una niña ejemplar para los ojos del pueblo, pero que, al comenzar un romance con Camilo Corcuera (Etienne Bobenrieth), un joven de clase baja e hijo de Silvia Corcuera (Francisca Gavilán) una empleada doméstica, desafía una de las reglas más importantes del lugar: la separación entre las clases sociales de la época.;https://image.tmdb.org/t/p/original/urhzrTrZhVqu5fk1PCuYFVZ0px.jpg;https://image.tmdb.org/t/p/original/AqL1l2OWupNcTiIpix6MPVsRk4d.jpg;Telenovela, Drama;2.8;2;312;https://www.themoviedb.org/tv/97403;T1:232|T2:80;Álvaro Rudolphy (Armando Quiroga), Patricia Rivadeneira (Estela Undurraga), Mario Horton (Reynaldo Suárez), Mariana Di Girolamo (María Elsa Quiroga), Francisca Gavilán (Silvia Corcuera), Roberto Farías (Ismael Quiroga);https://image.tmdb.org/t/p/w185/djgFZW0LIqTI2pX2eQewgPwJQug.jpg, https://image.tmdb.org/t/p/w185/pU5c2SP1X7s2A4xWV41jzxOfb2V.jpg, https://image.tmdb.org/t/p/w185/9erFWnX5wU4CN91ZiNTQH6b8vWy.jpg, https://image.tmdb.org/t/p/w185/niEEPw3RezaA0SvMXbaZXl3rqvD.jpg, https://image.tmdb.org/t/p/w185/vXzct0AFIl5C6LcTJtxi0rUayjr.jpg, https://image.tmdb.org/t/p/w185/aHQIYuDCwekYi1GvAut9izD5ThF.jpg;Creador: Pablo Illanes;Tyler Perry's The Haves and the Have Nots, Señora Acero, Doménica Montero, Hasta que la plata nos separe, Valle salvaje;
Propuesta Indecente;Propuesta indecente;TMDB;2023 - 2023;Zein es un hombre atractivo y millonario, dueño de una empresa pero que no ha tenido buena suerte en el amor, sin embargo, Sara, una de las trabajadoras de su empresa, se ha ganado su corazón sin siquiera tratarlo. La vida de esta hermosa mujer la ha llenado de pesar. Sara quedó viuda y es madre de un niño al que le detectaron leucemia.;https://image.tmdb.org/t/p/original/vfsCrC6cqbTEliqZJXTbraJSBw5.jpg;https://image.tmdb.org/t/p/original/dRV1lMIxQBlIgngufjrQeRX1JJm.jpg;Drama;6.571;1;89;https://www.themoviedb.org/tv/211782;T1:89;باسل خياط (Zein), رزان جمال (Sarah), Hadi Mokdad (Ibrahim), سارة أبي كنعان (Tima), نيكولا معوض (Karam), Wissam Fares (Firas);https://image.tmdb.org/t/p/w185/3e5iMDJTQdzy4tyCyRulPEAY0Ml.jpg, https://image.tmdb.org/t/p/w185/nFFZGLhGera8UHImoKNMU63tSDP.jpg, https://image.tmdb.org/t/p/w185/rAX82GhdkGXBHcsZ0fDWGfMtf0.jpg, https://image.tmdb.org/t/p/w185/vTDUsabi7gIM5Tf5hifx5VRW27.jpg, https://image.tmdb.org/t/p/w185/k4y3zv6mwrhS5yLgkJhM50cM0IL.jpg, https://image.tmdb.org/t/p/w185/aR3DsL56fGYxZCkO7yOQbd69kp2.jpg;Director: Fakart Qady;Parenthood, Dinastía, Arriba y abajo, Cinco hermanos, Flores en el ático: El Origen;https://www.youtube.com/watch?v=LPy1Fl_6dfw
¿Quién es Quién?;¿Quién es Quién?;TMDB;2015 - 2016;¿Quién es quién? centra su historia en dos hermanos gemelos separados al nacer. Ambos jóvenes tienen una vida muy distinta al otro. Pedro (Perico) es un mujeriego que vive con su madre, abuela y hermana. Él es humilde simpático y pobre. Mientras Leonardo es rico, responsable y adicto al trabajo. Su único interés es ser el mejor en su trabajo. Él vive con su papá, a quien le tiene un gran rencor, y con su madrasta y dos hijos de ella. Ambos se reencontrarán en una situación inesperada y por un accidente sus identidades serán cambiadas.;https://image.tmdb.org/t/p/original/xzMQqTTmjofphjTdeFaPm16G6gp.jpg;https://image.tmdb.org/t/p/original/a6Ll18CIvtCkZpRNNOyWfof1GZ7.jpg;Soap, Comedia, Drama;8.019;1;120;https://www.themoviedb.org/tv/78292;T1:120;"Marisa del Portillo (Magdalena), Gabriel Rossi (Rubén), Oka Giner (Yesenia Pérez González), Kenya Hijuelos (Ivonne), María del Pilar Pérez (Daniela Sandoval), Nicolás Maglione (Salvador Hernández ""Cachito"")";, https://image.tmdb.org/t/p/w185/xQQwpSdTuWUdDm2qlAh1zD3UuDe.jpg, https://image.tmdb.org/t/p/w185/A02d1PS1xyVitHkU0SaaaWsc9H1.jpg, , , ;Creador: Alexis Estiz, Alberto Slezynger, Laura Sosa;Señora Acero, Juana La Virgen, Rosa Diamante, Muñeca Brava, Betty la fea, la historia continúa;
Rastros de Mentiras;Rastros de Mentiras;TMDB;2013 - 2014;Rastros de Mentiras es una historia de amor y ambición centrada en Paloma (Paolla Oliveira), quien vive una relación conflictiva con su familia. Adoptada en secreto, conocerá la verdad de su maquiavélico hermano Félix (Mateus Solano), que desea eliminarla a cualquier precio y heredar la fortuna de sus padres, médicos dueños de un hospital. La revelación ocurre durante un viaje a las deslumbrantes ciudades históricas de Perú, donde Paloma se enamora del aventurero Nido (Juliano Cazarré).;https://image.tmdb.org/t/p/original/7F0JxZDMd4ISF8By5SDUfuUqBiv.jpg;https://image.tmdb.org/t/p/original/9vqqstyyhaO6b7Zc3VJgjzpWMJi.jpg;Telenovela, Drama, Familia;5.9;1;221;https://www.themoviedb.org/tv/59599;T1:221;Paolla Oliveira (Paloma Rodriguez Khoury), Malvino Salvador (Bruno dos Santos Araújo), Mateus Solano (Félix Rodriguez Khoury), Vanessa Giácomo (Aline Noronha), Juliano Cazarré (Joaquim Roveri (Ninho)), Antônio Fagundes (César Khoury);https://image.tmdb.org/t/p/w185/jr58zEheIKD1vFZ4edZMWem9quH.jpg, https://image.tmdb.org/t/p/w185/wFCBexeFH5URyHEHZwmRSrwc9iN.jpg, https://image.tmdb.org/t/p/w185/vW7bx1zNO7qi9emRDjP79pqDveR.jpg, https://image.tmdb.org/t/p/w185/5ELbYvwJiVSxiwqQcjhK2JKPvpd.jpg, https://image.tmdb.org/t/p/w185/57iYuH1szCIlwr2WFVHGC5UgkU0.jpg, https://image.tmdb.org/t/p/w185/vu061WT4vS7S86N1X3ULqUJvyUs.jpg;Creador: Walcyr Carrasco | Director: Marcelo Travesso, Mauro Mendonça Filho;Land of Desire, Rebirth, Manía de Ti, Corazón de Madre, India, una historia de amor;
Romina Poderosa;Romina Poderosa;TMDB;2023 - 2023;El mundo conocerá a una nueva heroína en esta historia llena de adrenalina y velocidad. Juanita Molina (La Reina del flow 2) es Romina, apasionada del downhill y defensora de los más débiles;https://image.tmdb.org/t/p/original/7x1fR7YoXWphEbaQFeZZ34g2BGd.jpg;https://image.tmdb.org/t/p/original/9kxWbS88J0BFApxwaFoCv76w5ll.jpg;Drama, Telenovela;7.7;1;65;https://www.themoviedb.org/tv/228051;T1:65;"Juanita Molina (Romina Páez / Laura Vélez), David Palacio (Cristobal Ruíz ""Calidoso""), Zharick León (Virginia Galindo de Vélez), Juan Manuel Guilera (Santiago Moya), Kevin Bury (Leonardo Chitiva), María Luisa Flores (Yesenia Páez)";https://image.tmdb.org/t/p/w185/y2x5rr85VVtlcbqum8vTypolDak.jpg, , https://image.tmdb.org/t/p/w185/uGqNm3Gwq0rSYIgZOYU3dSPaAPk.jpg, https://image.tmdb.org/t/p/w185/b48XGrTnLCVU914nxWHrAwpRNr.jpg, https://image.tmdb.org/t/p/w185/8twXVkuaxdJCITQ6XYxCkABlrXu.jpg, https://image.tmdb.org/t/p/w185/nOAvRbXbwp0SyvX4AGiouqiZvdN.jpg;;Santa Diabla, La promesa, Destilando amor, Dulce Desafío, Mar de Amor;
Rubi (2004);Rubí;TMDB;2004 - 2004;Rubí es una bella joven universitaria que vive junto con su madre Doña Refugio y su hermana Cristina en una pobre vecindad. ... Maribel es hija del millonario hombre de negocios llamado Arturo De La Fuente. Ella le entrega su amistad a Rubí, sin saber que esta está envenenada por la envidia y los celos;https://image.tmdb.org/t/p/original/uUYw0HKpaxZWbKkzCIPgEwXPDr3.jpg;https://image.tmdb.org/t/p/original/55gsc08ajOpUIKNAsNPa3V4qWkE.jpg;Telenovela, Drama, Misterio;7.689;1;115;https://www.themoviedb.org/tv/12961;T1:115;Bárbara Mori (Rubí Pérez Ochoa / Fernanda Martínez), Eduardo Santamarina (Alejandro Cárdenas Ruiz), Jacqueline Bracamontes (Maribel de la Fuente), Sebastián Rulli (Héctor Ferrer Garza), Ana Martín (Refugio Ochoa Vda. de Pérez), Yadhira Carrillo (Elena Navarro);https://image.tmdb.org/t/p/w185/y82o82y52BoKvFCMHG3R3Ahv43O.jpg, https://image.tmdb.org/t/p/w185/5kSFZtkLVMTFgM4X9gbhclfyDJE.jpg, https://image.tmdb.org/t/p/w185/erQUSJAH0GAlY46DLJDFirWowgC.jpg, https://image.tmdb.org/t/p/w185/5RVVRhpExIGWE0lZYJSgMW0V3dR.jpg, https://image.tmdb.org/t/p/w185/qiwFV3gxrZXipfO2ZTEA3Alw1M6.jpg, https://image.tmdb.org/t/p/w185/jICToUbKGlJoCcDFOyiEa1m3Zab.jpg;Creador: Yolanda Vargas Dulché;Marimar, Mujer de Madera, María Isabel, Amor Bravío, María Mercedes;
Araguaia;Rio del Destino;TMDB;2010 - 2011;Al descubrir que está condenado a muerte debido a una maldición que pesa sobre sus antepasados, Solano, con el apoyo de Estela, emprende un viaje de revelaciones sobre sus orígenes.;https://image.tmdb.org/t/p/original/1tZmWj5uzYZtOM12yWYKTy4BAbJ.jpg;https://image.tmdb.org/t/p/original/oQfJG7dwUQdYX7pQ7UapSSQvBZP.jpg;Soap, Drama, Familia;6.5;1;166;https://www.themoviedb.org/tv/46145;T1:166;Murilo Rosa (Solano Almeida Rangel), Milena Toscano (Manuela Martinez (Manu)), Cléo Pires (Estela Rangel / Estrela Karuê), Lima Duarte (Max Martinez), Júlia Lemmertz (Amélia Martinez), Thiago Fragoso (Vitor Vilar);https://image.tmdb.org/t/p/w185/7151dJTIoayM6qJfxjYaD9jLJw2.jpg, https://image.tmdb.org/t/p/w185/kkiitKWT4EJQitCBaPw3Ngd5Nbh.jpg, https://image.tmdb.org/t/p/w185/sLWs0GweYO1pawT9Acplgc3HmwE.jpg, https://image.tmdb.org/t/p/w185/g95EKPRa9PbG14wjiP44kPDUTKY.jpg, https://image.tmdb.org/t/p/w185/2HfOvUwortpjdejiUE60yCBObEr.jpg, https://image.tmdb.org/t/p/w185/r513jKVbsgwnvLgA6e5xEzTfAi2.jpg;Creador: Walther Negrão | Director: Marcos Schechtman, Fred Saddi-Naccache Limia;Timeless Love, El Rico Y Lazaro, Anything for Love, Dallas, Road to Avonlea;
Sábados de Gloria;Sábados de Gloria;Ecured;2025;plantea la historia de tres amigas que desde la infancia juran amistad eterna y así se cumple y se explicita. Cada sábado se reúnen, conversan y relatan sus experiencias y conflictos. En uno de esos sábados hay un punto de giro que comienza a desvirtuar estos encuentros.;https://www.ecured.cu/S%C3%A1bados_de_gloria#/media/File:S%C3%A1bados_de_gloria.jpg;Drama, Cuba;6;1;60;https://www.ecured.cu/S%C3%A1bados_de_gloria;;T1:1;;;;Abismo de pasión, Te Sigo Amando, Corona de lágrimas, Cuando me enamoro... se detiene el tiempo, La usurpadora;
Safir;Safir;TMDB;2023 - 2024;Los Gülsoy, una de las familias más influyentes de Capadocia, se reunieron tras el regreso de Ateş de América. Ateş no se doblegó ante la abrumadora autoridad de su abuelo Ömer y abandonó la casa. Años después, a petición de su madre Gülfem, regresó a su hogar con sus hermanos Yaman y Okan para hacerse cargo del negocio familiar y expandirlo. Ha llegado el momento de la unión para Ateş, Yaman y Okan. Tras el regreso de su hermano, Yaman decide proponerle matrimonio a su amada Feraye. De niño, Yaman compró en secreto el anillo de zafiro, una reliquia familiar, a su madre y le propuso matrimonio a Feraye. Mientras Feraye y Yaman cuentan los días para casarse, confesándose su gran amor y arriesgándolo todo, una tragedia trastoca sus vidas. Feraye y Yaman están a punto de perderse en un camino peligroso, lleno de amor, pasión, venganza y tiranía. Ateş se ganará nuevos enemigos y, al mismo tiempo, se enfrentará a sus hermanos con las decisiones radicales que tome para proteger a todos sus seres queridos y a su familia.;https://image.tmdb.org/t/p/original/ngAgkMrVQyBhiuhIK3zg1tmravS.jpg;https://image.tmdb.org/t/p/original/7v2g0gG5Pda1Wloq8ebMwkki0IE.jpg;Familia, Drama;5.3;1;26;https://www.themoviedb.org/tv/231092;T1:26;İlhan Şen (Ateş Gülsoy), Özge Yağız (Feraye Yılmaz/Gülsoy), Burak Berkay Akgül (Yaman Gülsoy), Erkan Bektaş (Vural Bakırcı), Nur Yazar (Cemile Yılmaz), Can Bartu Arslan (Okan Gülsoy);https://image.tmdb.org/t/p/w185/hfXuzYYr0QfHsGrI6eu2wrE63jM.jpg, https://image.tmdb.org/t/p/w185/bvdP97oMvMmbVHgEat4LUBoIFwy.jpg, https://image.tmdb.org/t/p/w185/2aKRwes8CWVYZ6hIc6RGihoLhP1.jpg, https://image.tmdb.org/t/p/w185/MOKUGuYDnzs810V80MQ9crcPdu.jpg, https://image.tmdb.org/t/p/w185/dLYagVx1SeljjgJ5IsHnXx70zaL.jpg, https://image.tmdb.org/t/p/w185/hyIZmZpOIIlgiN0YQpv2aua6hEQ.jpg;Director: Semih Bagci;Tierra Amarga, Una nueva vida, Corazón herido, Falling Leaves, Arafta;
Sed de venganza;Sed de Venganza;TMDB;2024 - 2025;Fernanda, decidida a superar su pasado, ve interrumpidos sus planes cuando un hombre entra en su vida, desencadenando acontecimientos que ponen a prueba su resiliencia. Para empeorar, se enamora de Francisco, impulsada por la venganza.;https://image.tmdb.org/t/p/original/7ucKT5fdCNATNHnAPkP0mjV2Shw.jpg;https://image.tmdb.org/t/p/original/sD6Cvc4VRGVGZHqeqglWrfo9vOP.jpg;Drama, Telenovela;7.6;1;83;https://www.themoviedb.org/tv/274634;T1:83;Isabella Castillo (Fernanda Ríos), Danilo Carrera (Emilio Montenegro/ Francisco Ramírez), Alexa Martin (Elisa del Pino), Diego Olivera (Eugenio Beltrán), Saúl Lisazo (Alfredo del Pino), Carlos Torres (Gabriel del Pino);https://image.tmdb.org/t/p/w185/n3JZ5gvCyzG48yRNVIJ4s0DHm2M.jpg, https://image.tmdb.org/t/p/w185/qW6uPlDAffZb5V2wpIt5dcvnl7c.jpg, https://image.tmdb.org/t/p/w185/6FiPWsRiy7LDoTOKYEN4VqbqSbB.jpg, , https://image.tmdb.org/t/p/w185/i9c82VJkdOrDum94YvBaORNGSsQ.jpg, https://image.tmdb.org/t/p/w185/2f2HhlZWaHao1vaPPJVl9hIXbFg.jpg;Creador: Eric Vonn;The Young and the Restless, Corazón Indomable, La hija del Mariachi, Amores verdaderos, Marimar;
Señora del Destino;Señora del Destino;TMDB;2004 - 2005;Una historia sobre personas que vencen en la vida por su propio esfuerzo. Una trama cuyo hilo conductor es Maria do Carmo, madre de cinco hijos, que venció en la vida con mucha lucha, pero que tendrá como gran batalla la reconquista de su hija, raptada aún recién nacida. Relaciones y conflictos familiares y el rescate de valores que la sociedad ya ha olvidado, son los temas abordados en 'Señora del Destino'. La obra se divide en dos partes: la primera transcurre en 1968 y se extiende por cuatro capítulos y medio, la segunda empezará tras un salto en el tiempo.;https://image.tmdb.org/t/p/original/x74oguhQltDFw8rUZX5C0Li9N56.jpg;https://image.tmdb.org/t/p/original/p5D492rqjQmrcc8rQPLkcJ9FPpa.jpg;Telenovela, Drama;7.9;1;221;https://www.themoviedb.org/tv/46101;T1:221;Susana Vieira (Maria do Carmo Ferreira da Silva), Renata Sorrah (Maria de Nazaré Esteves Tedesco (Nazaré)), José Wilker (Giovanni Improtta), José Mayer (Dirceu de Castro), Carolina Dieckmmann (Isabel Esteves Tedesco / Lindalva Ferreira da Silva / Maria do Carmo (jovem)), Eduardo Moscovis (Reginaldo Ferreira da Silva (Naldo));https://image.tmdb.org/t/p/w185/3sBFHc8ndo4WqXOxxsneeNcWfP0.jpg, https://image.tmdb.org/t/p/w185/biibTDAu7sX2J3a8p12s5kUWjXd.jpg, https://image.tmdb.org/t/p/w185/3FwZb9fKvd01zpfscDNa0o2CwWM.jpg, https://image.tmdb.org/t/p/w185/gYVwlrPDh4hdIn6Y0py2x6awBTh.jpg, https://image.tmdb.org/t/p/w185/rBC86RYNPgMP4633rXEu5ejk3Rq.jpg, https://image.tmdb.org/t/p/w185/vRIEz0KKxwO63ULtKhDkPWji9wU.jpg;Creador: Aguinaldo Silva | Director: Cláudio Boeckel, Ary Coslov;Avenida Brasil, La esclava Isaura, Timeless Love, Amor Perfecto, Secrets of Sand;
